,Host 5,Host 6,Host 7,Host 8,Host 9,Host 10,Host 11,Host 12,,,,,,,,,g1-elephant,g1-mice,g2-elephant,g2-mice
19,15.1466666666667,8.1,8.41333333333333,8.11,15.14,8.08666666666667,8.40666666666667,8.13,13.18,8.85,8.91,8.85666666666667,13.1366666666667,8.85666666666667,8.90333333333333,8.84666666666667,43.11,36.4233333333333,41.2633333333334,38.2766666666667
20,15.1233333333333,8.06333333333333,8.35666666666667,8.06333333333333,15.0166666666667,8.11333333333333,8.38,8.08666666666667,13.2166666666667,8.84333333333333,8.88333333333333,8.83,13.2066666666667,8.84,8.9,8.84,44.4133333333333,34.79,41.5433333333333,38.0166666666667
21,15.4033333333333,8.09666666666667,8.31666666666667,8.06666666666667,15.33,8.06666666666667,8.27,8.05666666666667,13.21,8.85,8.87333333333334,8.84,13.23,8.84,8.85333333333333,8.83333333333333,41.9933333333333,37.6133333333333,41.3433333333333,38.1866666666666
22,15.4266666666667,8.06,8.25666666666667,8.03,15.41,8.05666666666667,8.26,8.03333333333333,13.1966666666667,8.85333333333333,8.87666666666667,8.84333333333333,13.21,8.84333333333333,8.87333333333333,8.85333333333333,42.82,36.7133333333333,40.81,38.74
23,15.49,8.02333333333333,8.21333333333333,8.03,15.4666666666667,8.04333333333333,8.23,8.03666666666667,13.2433333333333,8.84333333333333,8.87666666666667,8.83666666666667,13.2366666666667,8.84,8.86,8.81666666666667,41.68,37.8533333333333,41.4033333333333,38.15
24,15.4933333333333,8.01333333333333,8.14666666666667,7.99666666666667,15.46,7.97,8.14666666666667,8,13.2466666666667,8.84666666666667,8.86,8.85,13.2433333333333,8.85,8.88666666666667,8.87333333333333,43.24,35.9866666666667,40.9866666666667,38.67
25,15.62,8.02666666666667,8.15333333333333,8.01666666666667,15.5966666666667,8.00666666666667,8.15,8,13.2366666666667,8.83,8.88333333333333,8.83666666666667,13.2366666666667,8.87,8.85,8.84333333333333,44.15,35.42,40.6666666666666,38.92
26,15.6066666666667,8.01,8.13,8.00333333333333,15.6633333333333,7.98,8.13666666666667,8.03666666666667,13.2466666666667,8.83666666666667,8.85,8.87333333333333,13.22,8.84666666666667,8.87,8.85666666666667,43.17,36.3966666666667,40.7433333333334,38.8566666666667
27,15.6733333333333,8.00333333333333,8.11,8.02333333333333,15.7233333333333,8.00333333333333,8.09666666666667,7.97333333333333,13.2233333333333,8.85333333333333,8.84333333333333,8.84,13.2333333333333,8.84666666666667,8.87666666666667,8.84666666666667,44.0133333333333,35.5933333333334,41.69,37.8733333333333
28,15.7766666666667,8,8.07333333333333,7.99,15.7066666666667,8.00333333333333,8.11,7.96666666666667,13.21,8.84333333333333,8.83333333333333,8.83,13.17,8.85666666666667,8.84,8.84333333333333,42.6266666666666,37,41.1066666666667,38.32
29,15.6133333333333,8.02333333333333,8.09,8.01,15.64,8.06333333333333,8.08,8.02,13.25,8.81666666666667,8.85,8.83333333333333,13.2566666666667,8.83,8.87333333333333,8.84333333333333,43.69,35.85,40.98,38.5733333333333
30,15.7366666666667,7.95,8.04,7.98333333333333,15.81,7.95333333333333,8.05333333333333,7.97666666666667,13.2366666666667,8.85,8.85666666666667,8.85333333333333,13.23,8.81333333333333,8.84,8.86666666666667,43.0766666666666,36.4266666666667,41.19,38.3566666666667
31,15.7333333333333,7.96666666666667,8.03,7.94333333333333,15.78,7.93,8.03,8.01666666666667,13.25,8.85333333333333,8.84,8.85,13.2433333333333,8.85666666666667,8.86333333333333,8.84666666666667,43.04,36.39,41.14,38.4633333333334
32,15.7966666666667,7.96,8.02666666666667,7.98,15.7833333333333,7.95,8.03666666666667,7.95666666666667,13.2833333333333,8.83333333333333,8.86,8.85,13.28,8.85,8.83333333333333,8.83333333333333,43.3066666666667,36.1833333333334,41.49,38.1333333333333
33,15.8466666666667,7.96333333333333,7.99666666666667,7.98666666666667,15.83,7.95333333333333,7.99,7.95333333333333,13.2666666666667,8.86333333333333,8.85333333333333,8.85,13.2433333333333,8.84666666666667,8.84,8.83333333333333,42.85,36.67,41.16,38.4366666666667
34,15.8566666666667,7.97333333333333,8.01666666666667,7.91666666666667,15.85,7.95,7.96666666666667,7.87333333333333,13.2433333333333,8.85333333333334,8.85333333333333,8.86333333333333,13.2633333333333,8.84,8.84,8.87,43.2733333333333,36.13,41.3833333333333,38.2433333333333
35,15.8166666666667,7.97333333333333,7.99,7.98666666666667,15.8966666666667,7.97666666666667,7.97666666666667,8,13.2633333333333,8.84666666666667,8.84666666666667,8.84333333333333,13.28,8.84,8.84666666666667,8.84333333333333,43.32,36.2966666666667,41.5,38.11
36,15.8466666666667,7.95333333333333,7.98666666666667,7.99,15.9066666666667,7.98,7.96666666666667,7.95,13.2866666666667,8.89,8.85333333333333,8.84333333333333,13.2833333333333,8.87,8.85666666666667,8.86333333333333,44.2533333333334,35.3266666666667,41.71,38.0366666666667
37,15.8933333333333,7.97,8.00333333333333,7.98333333333333,15.88,7.96666666666667,7.99666666666667,8.00333333333333,13.2533333333333,8.83666666666667,8.83333333333333,8.84,13.2633333333333,8.83333333333333,8.84666666666667,8.84,43.3733333333333,36.3233333333334,40.61,38.9366666666667
38,15.7333333333333,7.92333333333333,7.97333333333333,7.90666666666667,15.7133333333333,7.94,7.94,7.91,13.2266666666667,8.83333333333333,8.83666666666667,8.87666666666667,13.24,8.84333333333333,8.83,8.83333333333333,43.69,35.35,41.0433333333334,38.4766666666667
39,15.8366666666667,7.93333333333333,8.03333333333333,8,15.9466666666667,7.98333333333333,8.02333333333333,7.98,13.26,8.82333333333333,8.83666666666667,8.83666666666667,13.2566666666667,8.86333333333333,8.86666666666667,8.85,43.4566666666667,36.28,41.7433333333334,37.85
40,15.8633333333333,7.99666666666667,7.95666666666667,7.96333333333333,15.8733333333333,7.98333333333333,7.96,7.94333333333333,13.2333333333333,8.84,8.84333333333333,8.84,13.2633333333333,8.83333333333333,8.84333333333333,8.85,43.4166666666667,36.1233333333333,40.5033333333333,39.0433333333334
41,15.8566666666667,8,7.96666666666667,7.99,15.8966666666667,7.99,8.02666666666667,7.96333333333333,13.2533333333333,8.83666666666667,8.86333333333333,8.82333333333333,13.25,8.84666666666667,8.83,8.83,43.94,35.75,40.7333333333333,38.8
42,15.8533333333333,7.94333333333333,7.98,7.96666666666667,15.88,7.96,7.95,7.94666666666667,13.26,8.84333333333333,8.85333333333333,8.83,13.2333333333333,8.85,8.84666666666667,8.84666666666667,43.83,35.65,41.3366666666667,38.2266666666667
43,15.8966666666667,7.91666666666667,7.94666666666667,7.89666666666667,15.89,7.88666666666667,7.90333333333333,7.91,13.2166666666667,8.85,8.80666666666667,8.84666666666667,13.2533333333333,8.84333333333333,8.85666666666667,8.84666666666667,42.8066666666666,36.44,41.7766666666667,37.7433333333333
44,15.87,7.93,7.95333333333333,7.96333333333333,15.88,7.89,7.91333333333333,7.96333333333333,13.2533333333333,8.82,8.87,8.85666666666667,13.2766666666667,8.82666666666667,8.85333333333333,8.86666666666667,43.5766666666666,35.7866666666666,41.6733333333333,37.95
45,15.8233333333333,7.96,7.94,7.94,15.8433333333333,7.95666666666667,7.93,7.95666666666667,13.2566666666667,8.83,8.81666666666667,8.84333333333333,13.2466666666667,8.85,8.83,8.83333333333333,43.8233333333333,35.5266666666666,41.0633333333333,38.4433333333333
46,15.96,7.94666666666667,7.95,7.95333333333333,15.8866666666667,7.94,7.97333333333333,7.96666666666667,13.3066666666667,8.87333333333334,8.87333333333334,8.84,13.26,8.84666666666667,8.82333333333333,8.82666666666667,43.8233333333333,35.7533333333333,41.3433333333333,38.3066666666666
47,15.8733333333333,7.94333333333333,7.95666666666667,7.96666666666667,15.9433333333333,7.96666666666667,7.97,7.95,13.1866666666667,8.82666666666667,8.81,8.82333333333333,13.2133333333333,8.85,8.82666666666667,8.83,43.8,35.77,41.5733333333333,37.7933333333334
48,15.8566666666667,7.95666666666667,7.95666666666667,7.97333333333333,15.91,8,7.96666666666667,7.96333333333333,13.2733333333333,8.81666666666667,8.84666666666667,8.83333333333333,13.2266666666667,8.82666666666667,8.83,8.83333333333333,44.31,35.2733333333333,41.1166666666667,38.37
49,15.9266666666667,7.96333333333333,7.96,8.00333333333333,15.9,7.94666666666667,7.96333333333333,7.97333333333333,13.26,8.86,8.82666666666667,8.84666666666667,13.2833333333333,8.84666666666667,8.84666666666667,8.83333333333333,42.1766666666666,37.46,41.2133333333333,38.39
