,Host 5,Host 6,Host 7,Host 8,Host 9,Host 10,Host 11,Host 12,g1-elephant,g1-mice,g2-elephant,g2-mice
19,16.1333333333333,10.4,6.05333333333333,5.63,15.4666666666667,11.5,6.43666666666667,6.19,26.5333333333333,11.6833333333333,26.9666666666667,12.6266666666667
20,17.1666666666667,10.4,5.93,5.51333333333333,15.8,11.5,6.34,6.11666666666667,27.5666666666667,11.4433333333333,27.3,12.4566666666667
21,17.4,10.4,5.80666666666667,5.42666666666667,15.9666666666667,11.5,6.25,6.05,27.8,11.2333333333333,27.4666666666667,12.3
22,17.7,10.4,5.71,5.36333333333333,16.0666666666667,11.5,6.19,6.00333333333333,28.1,11.0733333333333,27.5666666666667,12.1933333333333
23,17.5666666666667,10.4,5.62666666666667,5.30666666666667,16.1,11.4666666666667,6.12666666666667,5.95333333333333,27.9666666666667,10.9333333333333,27.5666666666667,12.08
24,17.9666666666667,10.4,5.55333333333333,5.24666666666667,16.2333333333333,11.5333333333333,6.07333333333333,5.91333333333333,28.3666666666667,10.8,27.7666666666666,11.9866666666667
25,17.6666666666667,10.4,5.48333333333333,5.2,16.2333333333333,11.5,6.02,5.87666666666667,28.0666666666667,10.6833333333333,27.7333333333333,11.8966666666667
26,18.1333333333333,10.4,5.42333333333333,5.15333333333333,16.3,11.4666666666667,5.98333333333333,5.85333333333333,28.5333333333333,10.5766666666667,27.7666666666667,11.8366666666667
27,18.3,10.4,5.37,5.11666666666667,16.4,11.5,5.94333333333333,5.82,28.7,10.4866666666667,27.9,11.7633333333333
28,18.1333333333333,10.4,5.33,5.09,16.4,11.5,5.92,5.80333333333333,28.5333333333333,10.42,27.9,11.7233333333333
29,17.9333333333333,10.4,5.29333333333333,5.05666666666667,16.5,11.5,5.89,5.77333333333333,28.3333333333333,10.35,28,11.6633333333333
30,18.8,10.4,5.26333333333333,5.03,16.6666666666667,11.5,5.86,5.76666666666667,29.2,10.2933333333333,28.1666666666667,11.6266666666667
31,18.1333333333333,10.4,5.21666666666667,5.01666666666667,16.5666666666667,11.4333333333333,5.83666666666667,5.74333333333333,28.5333333333333,10.2333333333333,28,11.58
32,18.6666666666667,10.4,5.2,4.99333333333333,16.6333333333333,11.5,5.81666666666667,5.73666666666667,29.0666666666667,10.1933333333333,28.1333333333333,11.5533333333333
33,18.9,10.4,5.18333333333333,4.98,16.7666666666667,11.4666666666667,5.8,5.72333333333333,29.3,10.1633333333333,28.2333333333334,11.5233333333333
34,19.2,10.4,5.16333333333333,4.97666666666667,16.8,11.4666666666667,5.78666666666667,5.72,29.6,10.14,28.2666666666667,11.5066666666667
35,18.9,10.4,5.14666666666667,4.97666666666667,16.8,11.4333333333333,5.76666666666667,5.71333333333333,29.3,10.1233333333333,28.2333333333333,11.48
